Wavelength (nm),spheres,cubes,decahedra,rods
752,0.02968,0.06284,0.11536,0.45639
753,0.0294,0.06249,0.11434,0.4423
754,0.02883,0.06187,0.11334,0.42839
755,0.02889,0.06146,0.11251,0.41462
756,0.02856,0.06091,0.11158,0.40167
757,0.02798,0.06032,0.1107,0.3889
758,0.02787,0.05992,0.10986,0.37675
759,0.02781,0.05939,0.10896,0.35077
760,0.0275,0.0589,0.10799,0.34057
761,0.0272,0.05841,0.10703,0.33063
762,0.02687,0.05803,0.10638,0.32113
763,0.02644,0.05729,0.10552,0.31169
764,0.02625,0.05694,0.10468,0.30276
765,0.02586,0.05657,0.10389,0.29342
766,0.02569,0.05619,0.10311,0.28509
767,0.02566,0.05586,0.1024,0.27664
768,0.02543,0.05529,0.10146,0.26853
769,0.0247,0.05481,0.10071,0.26075
770,0.02479,0.05441,0.10002,0.25304
771,0.02443,0.0539,0.09924,0.24592
772,0.0243,0.0536,0.09864,0.23834
773,0.02399,0.05322,0.09786,0.23169
774,0.02356,0.05282,0.09717,0.22505
775,0.02353,0.05243,0.09658,0.2186
776,0.02319,0.0521,0.09585,0.21258
777,0.02298,0.05166,0.09529,0.20654
778,0.02281,0.05129,0.09452,0.20092
779,0.02234,0.05092,0.09371,0.19511
780,0.02233,0.05061,0.09324,0.18986
781,0.02189,0.05009,0.09257,0.18465
782,0.02181,0.04983,0.0919,0.17958
783,0.02162,0.04944,0.0912,0.17486
784,0.02151,0.04921,0.09074,0.17018
785,0.02119,0.04879,0.09003,0.16584
786,0.02084,0.04845,0.08944,0.16133
787,0.02048,0.04807,0.08881,0.15732
788,0.02024,0.04772,0.08823,0.15323
789,0.02032,0.04753,0.08759,0.14927
790,0.0202,0.04718,0.08705,0.14567
791,0.01993,0.04688,0.08659,0.14197
792,0.01974,0.04658,0.08596,0.13859
793,0.01979,0.04634,0.08555,0.13521
794,0.01928,0.04588,0.0848,0.13198
795,0.01911,0.04561,0.08439,0.12901
796,0.01894,0.0454,0.08395,0.12593
797,0.01872,0.04523,0.08343,0.12315
798,0.01864,0.04491,0.08288,0.12029
799,0.01849,0.04455,0.08238,0.11769
800,0.01826,0.04433,0.08191,0.11495
801,0.01813,0.04403,0.08143,0.11253
802,0.01833,0.04397,0.0809,0.11022
803,0.01781,0.04344,0.08049,0.10776
804,0.01744,0.04311,0.08001,0.1057
805,0.01749,0.0429,0.07946,0.1034
806,0.01748,0.0426,0.07901,0.1014
807,0.01718,0.04246,0.07853,0.09929
808,0.01678,0.04221,0.07809,0.09739
809,0.01683,0.04197,0.07768,0.09556
810,0.01655,0.04177,0.07716,0.09369
811,0.01647,0.04151,0.07668,0.09195
812,0.01645,0.04132,0.07611,0.0902
813,0.01624,0.04099,0.07577,0.08859
814,0.01604,0.04064,0.07543,0.08694
815,0.01566,0.04037,0.07495,0.08548
816,0.01539,0.04023,0.07453,0.08397
817,0.01524,0.03999,0.07405,0.08244
818,0.01536,0.03979,0.07387,0.08104
819,0.01509,0.03958,0.07326,0.07969
820,0.01508,0.0392,0.07284,0.07839
821,0.01484,0.03915,0.0724,0.077
822,0.01455,0.03869,0.07224,0.07577
823,0.01466,0.03855,0.07179,0.07461
824,0.01448,0.0383,0.07135,0.07334
825,0.014,0.03792,0.07093,0.07229
826,0.01419,0.03772,0.0705,0.07108
827,0.01384,0.03759,0.07015,0.06996
828,0.01353,0.03716,0.06971,0.06889
829,0.01375,0.03717,0.06924,0.06789
830,0.0135,0.03694,0.06889,0.06694
831,0.01344,0.03676,0.06859,0.06584
832,0.0132,0.03652,0.0684,0.06492
833,0.01287,0.0361,0.06787,0.06405
834,0.01305,0.03595,0.06744,0.06315
835,0.01272,0.0356,0.06716,0.06223
836,0.01252,0.03545,0.06695,0.0614
837,0.01266,0.03523,0.06657,0.06054
838,0.01201,0.03505,0.06609,0.05975
839,0.01215,0.03479,0.0658,0.05897
840,0.01212,0.03456,0.06558,0.05816
841,0.01206,0.03441,0.06523,0.05747
842,0.01204,0.03401,0.06498,0.0567
843,0.01193,0.03397,0.06462,0.05601
844,0.01181,0.03374,0.06431,0.0554
845,0.01141,0.03337,0.06391,0.05465
846,0.01143,0.03322,0.06367,0.05399
847,0.01108,0.03298,0.06335,0.05331
848,0.01077,0.03279,0.063,0.05263
849,0.01086,0.03259,0.06274,0.05203
850,0.0107,0.03253,0.06256,0.05142
851,0.01061,0.03216,0.06212,0.05089
852,0.01073,0.03189,0.06184,0.05026
853,0.0103,0.0318,0.06143,0.04969
854,0.01052,0.0316,0.06121,0.0491
855,0.01017,0.03118,0.06111,0.04862
856,0.0101,0.03114,0.06078,0.04803
857,0.0097,0.03075,0.06054,0.0475
858,0.00987,0.03063,0.0602,0.04704
859,0.0097,0.03037,0.0599,0.04653
860,0.00943,0.03017,0.0596,0.04603
861,0.00955,0.03011,0.05932,0.04561
862,0.0095,0.02989,0.05913,0.04513
863,0.00933,0.02967,0.05901,0.04461
864,0.00919,0.0294,0.05844,0.04419
865,0.00943,0.02931,0.05838,0.04375
866,0.00913,0.02903,0.05817,0.04329
867,0.0088,0.0289,0.05787,0.04292
868,0.00854,0.02872,0.05764,0.04245
869,0.00862,0.02846,0.05744,0.04203
870,0.00862,0.02835,0.05721,0.04157
871,0.00859,0.02817,0.05694,0.04123
872,0.00827,0.02797,0.0567,0.04087
873,0.00838,0.02775,0.05659,0.04045
874,0.00806,0.02759,0.05631,0.0401
875,0.00809,0.02745,0.05615,0.03971
876,0.00807,0.02716,0.05576,0.03934
877,0.0078,0.0269,0.05547,0.03898
878,0.00758,0.02687,0.05515,0.03865
879,0.00746,0.02668,0.05498,0.03829
880,0.0078,0.02678,0.0548,0.03792
881,0.0074,0.0263,0.05465,0.0376
882,0.00739,0.02627,0.05441,0.0372
883,0.00748,0.02619,0.0542,0.03691
884,0.00753,0.02612,0.05398,0.03654
885,0.00718,0.02566,0.05385,0.03626
886,0.00723,0.02549,0.05347,0.03586
887,0.00726,0.02549,0.05323,0.03559
888,0.00671,0.02505,0.05308,0.03529
889,0.00671,0.02508,0.05291,0.03498
890,0.00666,0.02493,0.05272,0.03467
891,0.00654,0.02465,0.0525,0.03433
892,0.00637,0.02453,0.05226,0.03405
893,0.00647,0.02448,0.0521,0.03381
894,0.00644,0.02434,0.05197,0.0335
895,0.00646,0.02414,0.05175,0.03319
896,0.00653,0.02411,0.05148,0.03292
897,0.006,0.02355,0.05131,0.03261
898,0.00611,0.0236,0.05103,0.03237
899,0.00557,0.02349,0.05091,0.03205
900,0.00574,0.0234,0.05073,0.03185
901,0.00577,0.02326,0.05051,0.03155
902,0.00563,0.02317,0.05045,0.03139
903,0.00555,0.0228,0.05022,0.03117
904,0.00556,0.0228,0.05007,0.03095
905,0.0052,0.0225,0.0498,0.03078
906,0.00556,0.02221,0.04987,0.03058
907,0.00548,0.02234,0.04947,0.0304
908,0.00543,0.02217,0.04939,0.03021
909,0.00551,0.02204,0.04919,0.02997
910,0.00496,0.02175,0.04915,0.02982
911,0.00515,0.0218,0.049,0.02962
912,0.0054,0.02178,0.04873,0.02945
913,0.00475,0.02153,0.0485,0.02924
914,0.00497,0.02149,0.04835,0.02908
915,0.00486,0.02133,0.04815,0.02885
916,0.00469,0.02117,0.04816,0.02871
917,0.00432,0.02083,0.04791,0.02854
918,0.00445,0.0209,0.04774,0.02834
919,0.00485,0.02065,0.04765,0.02819
920,0.00436,0.02055,0.04758,0.02799
921,0.00406,0.02041,0.04733,0.02789
922,0.00407,0.02041,0.0472,0.02773
923,0.00415,0.02029,0.04705,0.02757
924,0.00427,0.02008,0.04695,0.0274
925,0.00461,0.01998,0.04681,0.02727
926,0.00428,0.01979,0.04652,0.02712
927,0.00359,0.01945,0.04635,0.02694
928,0.00409,0.01959,0.04628,0.02681
929,0.00402,0.0194,0.04616,0.02665
930,0.00365,0.01927,0.04624,0.02653
931,0.00355,0.01927,0.04577,0.02638
932,0.00369,0.019,0.04576,0.02622
933,0.00351,0.01885,0.04555,0.02613
934,0.00331,0.01891,0.0454,0.02595
935,0.00455,0.01896,0.04513,0.02584
936,0.00348,0.01847,0.04489,0.02569
937,0.00355,0.01831,0.04468,0.02558
938,0.00352,0.01836,0.04453,0.02538
939,0.0034,0.01809,0.04445,0.02536
940,0.00334,0.01826,0.0441,0.02509
941,0.00325,0.01813,0.04428,0.02512
942,0.00285,0.01781,0.04384,0.02479
943,0.00245,0.01759,0.04375,0.02483
944,0.00304,0.01766,0.04333,0.02459
945,0.00272,0.01759,0.04357,0.02468
946,0.00293,0.01733,0.04284,0.02439
947,0.00294,0.01744,0.04285,0.02441
948,0.0031,0.01734,0.04282,0.02414
949,0.00339,0.01716,0.04241,0.0242
950,0.00274,0.0171,0.04236,0.02393
951,0.00192,0.01662,0.0421,0.02394
952,0.00258,0.01681,0.04185,0.02374
953,0.00231,0.01687,0.04152,0.02365
954,0.00225,0.01666,0.04174,0.02352
955,0.0022,0.01658,0.04145,0.02346
956,0.00197,0.01616,0.0413,0.02334
957,0.0027,0.0164,0.04121,0.02322
958,0.00181,0.0158,0.04103,0.02314
959,0.00189,0.01596,0.04061,0.02298
960,0.00168,0.016,0.0405,0.02295
961,0.00156,0.01572,0.04051,0.02284
962,0.00132,0.01588,0.04053,0.02272
963,0.00182,0.016,0.04022,0.0226
964,0.00135,0.01556,0.04018,0.02251
965,0.00187,0.01586,0.03993,0.02245
966,0.00139,0.01544,0.03982,0.02234
967,0.00163,0.01532,0.03979,0.02229
968,0.00177,0.01532,0.03966,0.02215
969,0.00208,0.01519,0.03971,0.02215
970,0.00189,0.01512,0.03905,0.02202
971,0.00183,0.01514,0.03937,0.02191
972,0.00119,0.01484,0.03914,0.02185
973,0.00166,0.01502,0.03911,0.02177
974,0.00152,0.01451,0.03884,0.02167
975,0.00186,0.01494,0.03896,0.02156
976,0.0014,0.0147,0.03856,0.02146
977,0.00175,0.01462,0.03859,0.02141
978,0.00205,0.01443,0.03773,0.0213
979,0.00167,0.01412,0.03822,0.02131
980,0.00123,0.01435,0.03817,0.02112
981,0.00107,0.01388,0.03792,0.02108
982,0.0014,0.01424,0.0379,0.02096
983,5.33E-04,0.01433,0.03816,0.02093
984,0.00131,0.01414,0.03792,0.02081
985,8.67E-04,0.01362,0.03788,0.02078
986,0.00158,0.01363,0.03761,0.02068
987,6.41E-04,0.01342,0.03742,0.02064
988,0.00164,0.0134,0.03786,0.02056
989,8.61E-04,0.01314,0.03731,0.02052
990,6.72E-04,0.01299,0.03718,0.0204
991,8.67E-04,0.01287,0.03683,0.02038
992,0.00149,0.01279,0.037,0.02026
993,4.02E-04,0.01298,0.03722,0.02022
994,5.94E-04,0.01338,0.03683,0.02016
995,1.38E-04,0.0129,0.03717,0.02009
996,3.71E-04,0.01303,0.03745,0.02001
997,6.43E-04,0.01294,0.03665,0.01998
998,0.00121,0.01263,0.03667,0.01985
999,0.00121,0.01233,0.03713,0.01982
1000,-1.13E-04,0.01253,0.03689,0.01975
1001,3.95E-04,0.01263,0.03656,0.01969
1002,-1.82E-06,0.01205,0.03671,0.01963
1003,7.96E-04,0.01238,0.03643,0.01953
1004,6.85E-04,0.01231,0.03626,0.01948
1005,0.0012,0.01197,0.03633,0.01945
1006,8.05E-04,0.01165,0.03638,0.01936
1007,0.00176,0.01208,0.03603,0.01933
1008,0.00103,0.01154,0.0362,0.01925
1009,4.86E-04,0.01158,0.0363,0.01919
1010,-2.18E-05,0.01167,0.03615,0.01915
1011,0.00156,0.01205,0.03712,0.01913
1012,5.63E-04,0.01246,0.03585,0.01902
1013,2.71E-04,0.01242,0.03575,0.01899
1014,-3.11E-04,0.01128,0.03513,0.01891
1015,9.94E-04,0.01169,0.03623,0.01883
1016,2.46E-04,0.01174,0.03598,0.01879
1017,-4.41E-04,0.01075,0.03536,0.01876
1018,0.00116,0.01086,0.03457,0.01871
1019,0.00164,0.01089,0.03557,0.01867
1020,0.00115,0.01126,0.03516,0.01855
1021,2.86E-04,0.01082,0.03547,0.01855
1022,8.12E-04,0.01198,0.03541,0.01852
1023,-0.00192,0.01054,0.03642,0.01841
1024,4.22E-04,0.0125,0.03548,0.0184
1025,-3.93E-04,0.0108,0.03581,0.01835
1026,2.22E-04,0.01089,0.0352,0.01832
1027,-5.39E-04,0.01019,0.03515,0.01821
1028,-5.32E-04,0.01086,0.0361,0.01814
1029,0.00123,0.01098,0.03624,0.01807
1030,0.00175,0.01142,0.03636,0.01809
1031,-9.18E-04,0.01173,0.03528,0.01801
1032,4.37E-05,0.01195,0.03512,0.01795
1033,-0.00111,0.01136,0.03511,0.01789
1034,-0.00112,0.01101,0.03527,0.01786
1035,7.06E-04,0.01104,0.0355,0.01783
1036,8.30E-04,0.01031,0.03545,0.01779
1037,-0.00134,0.00929,0.03516,0.01772
1038,0.00331,0.00991,0.03525,0.01767
1039,3.24E-04,0.01028,0.03484,0.01762
1040,5.52E-04,0.0098,0.03506,0.01761
1041,0,0.01002,0.0375,0.01759
1042,5.44E-04,0.01096,0.03451,0.01755
1043,-0.00183,0.00923,0.03493,0.01748
1044,-0.00348,0.00968,0.03573,0.01743
1045,-0.00194,0.01034,0.0357,0.01735
1046,-7.57E-04,0.008,0.03385,0.01729
1047,2.99E-04,0.00879,0.03461,0.01724
1048,0.00127,0.01079,0.03475,0.01722
1049,0.00263,0.01079,0.03712,0.01715
1050,8.07E-04,0.0103,0.03466,0.01706
1051,-0.00168,0.00792,0.03579,0.01699
1052,-0.00152,0.01013,0.0338,0.01691
1053,3.99E-04,0.00989,0.03504,0.01684
1054,-9.58E-04,0.01069,0.03572,0.01675
1055,0.00407,0.01079,0.03607,0.01664
1056,0.00318,0.01094,0.03655,0.01656
1057,0.00228,0.00989,0.03484,0.01638
1058,-4.37E-05,0.00697,0.03841,0.01632
1059,8.99E-04,0.00964,0.03546,0.0161
1060,3.64E-05,0.01014,0.03364,0.01608
1061,0.00218,0.01075,0.0372,0.01589
1062,-0.00265,0.01053,0.03653,0.01576
1063,0.0011,0.01299,0.03424,0.01579
1064,0.00308,0.01312,0.03469,0.01567
1065,0.00299,0.0122,0.03482,0.01567
1066,0.00613,0.01196,0.03566,0.01551
1067,-1.57E-04,0.00946,0.03623,0.01566
1068,7.87E-04,0.00969,0.03799,0.01557
1069,0.00332,0.01394,0.03589,0.01568
1070,0.00364,0.01097,0.03761,0.01582
1071,-0.00155,0.01158,0.03579,0.01577
1072,0.00243,0.01259,0.04166,0.0158
1073,2.88E-04,0.01205,0.03907,0.01575
1074,0.00164,0.01479,0.04002,0.01579
1075,0.00349,0.01362,0.03699,0.01582
1076,0.00297,0.01216,0.03839,0.0159
1077,0.01614,0.01462,0.0401,0.01583
1078,-0.00145,0.01026,0.03757,0.01588
1079,0.00418,0.01532,0.04056,0.01579
1080,0.00226,0.01878,0.03646,0.01576
1081,0.00509,0.02068,0.04102,0.0157
1082,0.00877,0.01928,0.04217,0.01575
1083,0.01537,0.02483,0.03861,0.01573
1084,0.01548,0.02404,0.03852,0.01564
1085,0.01622,0.02188,0.04387,0.01567
1086,0.01009,0.02142,0.03982,0.0157
1087,0.0165,0.02337,0.04369,0.01569
1088,0.01888,0.02072,0.04432,0.0156
1089,0.01618,0.02326,0.04372,0.01559
1090,0.0193,0.02651,0.03898,0.01558
1091,0.00759,0.02387,0.04426,0.01547
1092,0.0153,0.02709,0.04508,0.0155
1093,0.01948,0.03396,0.05166,0.01554
1094,0.03395,0.03889,0.05008,0.01564
1095,0.03027,0.0353,0.04962,0.01553
1096,0.0187,0.03147,0.05207,0.0155
1097,0.03369,0.0353,0.05955,0.01547
1098,0.04298,0.03952,0.05377,0.01545
1099,0.03361,0.04373,0.05683,0.01547
1100,0.04561,0.04392,0.06023,0.01545